prompt,user_query,gold_label,predicted_label,match
"Classify a banking-related user query into a single given intent.

User query:
why do I have an unknown payment?
",why do I have an unknown payment?,card_payment_not_recognised,card_payment_wrong_exchange_rate,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?
",I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,cancel_transfer,cancel_transfer,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I didn't get a PIN yet. What gives?
",I didn't get a PIN yet. What gives?,get_physical_card,passcode_forgotten,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?
",I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,virtual_card_not_working,disposable_card_limits,FALSE
"Classify a banking-related user query into a single given intent.

User query:
what is the fee for topping up by card?
",what is the fee for topping up by card?,top_up_by_card_charge,top_up_by_card_charge,TRUE
"Classify a banking-related user query into a single given intent.

User query:
How do I replace a card that's going to expire?
",How do I replace a card that's going to expire?,card_about_to_expire,card_about_to_expire,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I could not get my card to work at a shop.
",I could not get my card to work at a shop.,declined_card_payment,declined_card_payment,TRUE
"Classify a banking-related user query into a single given intent.

User query:
An incorrect exchange rate was applied to an item I bought.
",An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
Why is there a payment showing twice?
",Why is there a payment showing twice?,transaction_charged_twice,extra_charge_on_statement,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I see non-received cash in my app.
",I see non-received cash in my app.,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,TRUE
"Classify a banking-related user query into a single given intent.

User query:
I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.
","I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,TRUE
"Classify a banking-related user query into a single given intent.

User query:
The money has not yet been placed in recipients account.
",The money has not yet been placed in recipients account.,transfer_not_received_by_recipient,pending_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
Why hasn't the transaction I did to my friend arrived yet?
",Why hasn't the transaction I did to my friend arrived yet?,transfer_not_received_by_recipient,pending_transfer,FALSE
"Classify a banking-related user query into a single given intent.

User query:
How much is a physical card?
",How much is a physical card?,order_physical_card,get_physical_card,FALSE
"Classify a banking-related user query into a single given intent.

User query:
I want to top up by using a credit card, which ones do you support?
","I want to top up by using a credit card, which ones do you support?",supported_cards_and_currencies,top_up_by_card_charge,FALSE
